Presentation Data
SampleTime, PercentMoisture
Time: 1469792582, Moistures: 0.67, 12.19, 8.39, 6.63, 0.59, 1.55, 0.35, Rain: 0.01
Time: 1469792587, Moistures: 0.53, 12.34, 8.12, 6.42, 0.38, 1.58, 0.62, Rain: 0.01
Time: 1469792592, Moistures: 0.23, 12.41, 7.95, 6.25, 0.23, 1.38, 0.50, Rain: 0.01
Time: 1469792597, Moistures: 0.29, 12.41, 7.98, 6.25, 0.26, 1.41, 0.32, Rain: 0.01
Time: 1469792602, Moistures: 0.29, 13.07, 8.18, 6.33, 0.50, 1.50, 0.29, Rain: 0.01
Time: 1469792607, Moistures: 0.53, 12.19, 8.18, 6.60, 0.67, 1.14, 0.59, Rain: 0.01
Time: 1469792612, Moistures: 0.38, 12.27, 7.98, 6.30, 0.26, 1.52, 0.26, Rain: 0.01
Time: 1469792617, Moistures: 0.41, 12.19, 8.36, 6.66, 0.70, 1.17, 0.53, Rain: 0.01
Time: 1469792622, Moistures: 0.29, 13.00, 7.98, 6.28, 0.23, 1.32, 0.35, Rain: 0.01
Time: 1469792627, Moistures: 0.41, 12.27, 8.06, 6.30, 0.26, 1.55, 0.26, Rain: 0.01
Time: 1469792632, Moistures: 0.38, 12.19, 8.04, 6.25, 0.26, 1.50, 0.26, Rain: 0.01
Time: 1469792637, Moistures: 0.47, 12.34, 8.24, 6.33, 0.32, 1.44, 0.26, Rain: 0.01
Time: 1469792642, Moistures: 0.41, 12.49, 7.95, 6.28, 0.32, 1.23, 0.32, Rain: 0.01
Time: 1469792647, Moistures: 0.23, 13.00, 7.98, 6.28, 0.35, 1.17, 0.29, Rain: 0.01
Time: 1469792652, Moistures: 0.23, 12.78, 8.01, 6.63, 0.53, 1.17, 0.67, Rain: 0.01
Time: 1469792657, Moistures: 0.47, 12.19, 8.09, 6.28, 0.26, 1.35, 0.26, Rain: 0.01
Time: 1469792662, Moistures: 0.29, 12.34, 8.39, 6.42, 0.32, 1.41, 0.23, Rain: 0.01
Time: 1469792667, Moistures: 0.38, 12.41, 8.04, 6.45, 0.65, 1.14, 0.67, Rain: 0.01
Time: 1469792672, Moistures: 0.35, 12.27, 8.56, 6.39, 0.29, 1.38, 0.53, Rain: 0.01
Time: 1469792677, Moistures: 0.23, 13.00, 9.53, 6.60, 0.62, 1.17, 0.59, Rain: 0.01
Time: 1469792682, Moistures: 0.29, 12.34, 10.67, 6.36, 0.26, 1.52, 0.23, Rain: 0.01
Time: 1469792687, Moistures: 0.26, 13.00, 10.85, 6.33, 0.65, 1.17, 0.67, Rain: 0.01
Time: 1469792692, Moistures: 0.65, 12.05, 10.29, 6.30, 0.26, 1.20, 0.47, Rain: 0.01
Time: 1469792697, Moistures: 0.21, 13.00, 13.22, 6.39, 0.38, 1.38, 0.35, Rain: 0.01
Time: 1469792702, Moistures: 0.26, 13.07, 15.81, 6.36, 0.47, 1.23, 0.53, Rain: 0.01
Time: 1469792707, Moistures: 0.29, 12.71, 16.79, 6.25, 0.23, 1.29, 0.26, Rain: 0.01
Time: 1469792712, Moistures: 0.26, 12.63, 18.77, 6.28, 0.26, 1.70, 0.23, Rain: 0.01
Time: 1469792717, Moistures: 0.56, 12.19, 19.90, 6.48, 0.53, 1.23, 0.32, Rain: 0.01
Time: 1469792722, Moistures: 0.62, 12.27, 21.45, 6.25, 0.21, 1.52, 0.29, Rain: 0.01
Time: 1469792727, Moistures: 0.65, 12.12, 22.43, 6.36, 0.23, 1.58, 0.21, Rain: 0.01
Time: 1469792732, Moistures: 0.47, 12.19, 23.84, 6.36, 0.44, 1.29, 0.35, Rain: 0.01
Time: 1469792737, Moistures: 0.65, 12.19, 25.82, 6.39, 0.91, 1.47, 0.32, Rain: 0.01
Time: 1469792742, Moistures: 0.23, 13.07, 29.63, 6.33, 1.76, 1.32, 0.53, Rain: 0.01
Time: 1469792747, Moistures: 0.65, 12.12, 29.06, 6.30, 1.88, 1.70, 0.32, Rain: 0.01
Time: 1469792752, Moistures: 0.23, 13.00, 30.61, 6.28, 2.38, 1.58, 0.23, Rain: 0.01
Time: 1469792757, Moistures: 0.65, 12.05, 30.75, 6.33, 2.64, 1.29, 0.44, Rain: 0.01
Time: 1469792762, Moistures: 0.26, 12.34, 32.16, 6.66, 3.58, 1.32, 0.38, Rain: 0.01
Time: 1469792767, Moistures: 0.29, 12.71, 32.73, 6.28, 3.28, 1.52, 0.32, Rain: 0.01
Time: 1469792772, Moistures: 0.29, 13.00, 33.86, 6.25, 3.40, 1.55, 0.21, Rain: 0.01
Time: 1469792777, Moistures: 0.59, 12.12, 33.01, 6.25, 3.31, 1.41, 0.23, Rain: 0.01
Time: 1469792782, Moistures: 0.65, 12.12, 33.43, 6.28, 3.43, 1.29, 0.38, Rain: 0.01
Time: 1469792787, Moistures: 0.59, 12.05, 33.71, 6.33, 3.43, 1.52, 0.21, Rain: 0.01
Time: 1469792792, Moistures: 0.32, 12.93, 34.70, 6.28, 3.70, 1.47, 0.23, Rain: 0.01
Time: 1469792797, Moistures: 0.59, 12.12, 34.56, 6.36, 3.81, 1.29, 0.59, Rain: 0.01
Time: 1469792802, Moistures: 0.26, 13.00, 35.27, 6.25, 4.05, 1.50, 0.21, Rain: 0.01
Time: 1469792807, Moistures: 0.29, 12.85, 35.27, 6.25, 3.90, 1.61, 0.21, Rain: 0.01
Time: 1469792812, Moistures: 0.23, 12.34, 35.69, 6.57, 4.02, 0.97, 0.65, Rain: 0.01
Time: 1469792817, Moistures: 0.21, 13.00, 35.69, 6.22, 4.22, 1.61, 0.23, Rain: 0.01
Time: 1469792822, Moistures: 0.65, 12.19, 35.41, 6.28, 4.16, 1.44, 0.26, Rain: 0.01
Time: 1469792827, Moistures: 0.41, 12.41, 35.97, 6.66, 4.55, 1.35, 0.56, Rain: 0.01
Time: 1469792832, Moistures: 0.29, 12.56, 36.82, 6.22, 4.63, 1.64, 0.21, Rain: 0.01
Time: 1469792837, Moistures: 0.38, 12.27, 36.53, 6.22, 4.81, 1.61, 0.23, Rain: 0.01
Time: 1469792842, Moistures: 0.56, 12.12, 36.39, 6.39, 4.72, 1.17, 0.29, Rain: 0.01
Time: 1469792847, Moistures: 0.35, 12.63, 37.80, 6.10, 4.84, 1.35, 0.26, Rain: 0.01
Time: 1469792852, Moistures: 0.29, 13.00, 37.24, 6.48, 5.37, 1.73, 0.35, Rain: 0.01
Time: 1469792857, Moistures: 0.41, 12.34, 37.66, 6.54, 5.28, 1.32, 0.32, Rain: 0.01
Time: 1469792862, Moistures: 0.62, 12.19, 38.23, 6.66, 5.22, 1.20, 0.65, Rain: 0.01
Time: 1469792867, Moistures: 0.35, 12.34, 39.64, 6.22, 5.40, 1.50, 0.41, Rain: 0.01
Time: 1469792872, Moistures: 0.41, 12.34, 38.65, 6.54, 5.45, 1.29, 0.67, Rain: 0.01
Time: 1469792877, Moistures: 0.65, 12.27, 39.35, 6.33, 5.81, 1.64, 0.26, Rain: 0.01
Time: 1469792882, Moistures: 0.59, 12.34, 39.78, 6.36, 5.81, 1.67, 0.26, Rain: 0.01
Time: 1469792887, Moistures: 0.29, 13.00, 39.64, 6.30, 5.81, 1.61, 0.26, Rain: 0.01
Time: 1469792892, Moistures: 0.65, 12.41, 40.04, 6.25, 6.10, 1.44, 0.32, Rain: 0.01
Time: 1469792897, Moistures: 0.35, 12.85, 40.74, 6.25, 6.19, 1.38, 0.50, Rain: 0.01
Time: 1469792902, Moistures: 0.38, 12.85, 40.74, 6.42, 5.87, 1.35, 0.38, Rain: 0.01
Time: 1469792907, Moistures: 0.44, 11.39, 40.12, 6.22, 6.36, 1.32, 0.62, Rain: 0.01
Time: 1469792912, Moistures: 0.41, 12.05, 41.35, 6.63, 6.04, 1.58, 0.29, Rain: 0.01
Time: 1469792917, Moistures: 0.38, 12.71, 40.66, 6.36, 6.69, 1.52, 0.38, Rain: 0.01
Time: 1469792922, Moistures: 0.41, 12.78, 40.74, 6.63, 8.06, 1.35, 0.32, Rain: 0.01
Time: 1469792927, Moistures: 0.41, 12.71, 40.81, 6.33, 6.80, 0.76, 0.38, Rain: 0.01
Time: 1469792932, Moistures: 0.47, 12.19, 41.05, 6.63, 6.98, 1.38, 0.29, Rain: 0.01
Time: 1469792937, Moistures: 0.23, 12.19, 40.58, 6.28, 6.95, 0.97, 0.32, Rain: 0.01
Time: 1469792942, Moistures: 0.59, 11.61, 41.82, 6.63, 7.04, 1.14, 0.38, Rain: 0.01
Time: 1469792947, Moistures: 0.23, 10.65, 41.28, 6.51, 6.98, 1.26, 0.38, Rain: 0.01
Time: 1469792952, Moistures: 0.44, 11.17, 41.28, 6.48, 7.27, 1.41, 0.32, Rain: 0.01
Time: 1469792957, Moistures: 0.26, 10.95, 41.20, 6.30, 7.89, 1.11, 0.29, Rain: 0.01
Time: 1469792962, Moistures: 0.29, 11.90, 41.12, 6.51, 7.13, 1.52, 0.62, Rain: 0.01
Time: 1469792967, Moistures: 0.41, 12.27, 42.05, 6.66, 7.24, 1.17, 0.62, Rain: 0.01
Time: 1469792972, Moistures: 0.59, 12.34, 42.43, 6.30, 8.91, 1.09, 0.26, Rain: 0.01
Time: 1469792977, Moistures: 0.23, 11.83, 42.05, 6.30, 10.26, 1.50, 0.29, Rain: 0.01
Time: 1469792982, Moistures: 0.53, 12.34, 43.05, 6.66, 10.29, 1.58, 0.50, Rain: 0.01
Time: 1469792987, Moistures: 0.67, 12.71, 42.51, 6.28, 10.62, 1.23, 0.26, Rain: 0.01
Time: 1469792992, Moistures: 0.56, 12.93, 42.97, 6.36, 9.38, 1.26, 0.67, Rain: 0.01
Time: 1469792997, Moistures: 0.38, 12.93, 42.43, 6.22, 9.12, 1.26, 0.29, Rain: 0.01
Time: 1469793002, Moistures: 0.26, 12.12, 43.21, 6.36, 9.15, 1.17, 0.23, Rain: 0.01
Time: 1469793007, Moistures: 0.32, 12.05, 42.90, 6.66, 8.62, 1.20, 0.23, Rain: 0.01
Time: 1469793012, Moistures: 0.67, 12.93, 42.43, 6.25, 9.30, 1.17, 0.29, Rain: 0.01
Time: 1469793017, Moistures: 0.67, 13.00, 42.36, 6.25, 10.79, 1.32, 0.59, Rain: 0.01
Time: 1469793022, Moistures: 0.35, 12.49, 42.20, 6.54, 11.24, 1.38, 0.65, Rain: 0.01
Time: 1469793027, Moistures: 0.50, 13.15, 42.05, 6.36, 9.44, 1.09, 0.38, Rain: 0.01
